timestamp,symbol,side,price,quantity,order_id,api_response,pnl,signal_reason,strategy_state
2026-03-18T10:09:40.363540,BTC/USD,HOLD,74144.0,0,,,,SVM prediction based on SMA features,"{'sma3': 74312.67333333334, 'sma10': 71700.92, 'momentum': 0.0031745640876880096}"
2026-03-18T10:09:50.599895,BTC/USD,HOLD,74144.0,0,,,,SVM prediction based on SMA features,"{'sma3': 74312.67666666667, 'sma10': 71700.921, 'momentum': 0.0031746993885483437}"
2026-03-18T10:10:01.241370,BTC/USD,HOLD,74144.0,0,,,,SVM prediction based on SMA features,"{'sma3': 74312.67333333334, 'sma10': 71700.92, 'momentum': 0.0031745640876880096}"
2026-03-18T10:10:11.492834,BTC/USD,HOLD,74187.46,0,,,,SVM prediction based on SMA features,"{'sma3': 74327.16333333333, 'sma10': 71705.26699999999, 'momentum': 0.0037627169278695665}"
2026-03-18T10:10:21.728341,BTC/USD,HOLD,74187.47,0,,,,SVM prediction based on SMA features,"{'sma3': 74327.16333333333, 'sma10': 71705.26699999999, 'momentum': 0.0037627169278695665}"
2026-03-18T10:10:32.081961,BTC/USD,HOLD,74187.46,0,,,,SVM prediction based on SMA features,"{'sma3': 74327.16333333333, 'sma10': 71705.26699999999, 'momentum': 0.0037627169278695665}"
2026-03-18T10:10:42.340712,BTC/USD,HOLD,74187.46,0,,,,SVM prediction based on SMA features,"{'sma3': 74327.16333333333, 'sma10': 71705.26699999999, 'momentum': 0.0037627169278695665}"
2026-03-18T10:10:52.586254,BTC/USD,HOLD,74187.47,0,,,,SVM prediction based on SMA features,"{'sma3': 74327.16666666667, 'sma10': 71705.268, 'momentum': 0.0037628522287299006}"
2026-03-18T10:11:02.877024,BTC/USD,HOLD,74203.05,0,,,,SVM prediction based on SMA features,"{'sma3': 74332.36, 'sma10': 71706.826, 'momentum': 0.003973650969241275}"
2026-03-18T10:11:13.125228,BTC/USD,HOLD,74230.6,0,,,,SVM prediction based on SMA features,"{'sma3': 74341.54, 'sma10': 71709.57999999999, 'momentum': 0.004346269538797196}"
2026-03-18T10:11:23.399044,BTC/USD,HOLD,74243.5,0,,,,SVM prediction based on SMA features,"{'sma3': 74345.84333333334, 'sma10': 71710.871, 'momentum': 0.004520942949580397}"
